parish_id,parish_name,municipality_id,party,votes
000302,Silveiros e Rio Covo (Santa Eulália),0003,ADN,23
000302,Tamel (Santa Leocádia) e Vilar do Monte,0003,ADN,10
000302,"Viatodos, Grimancelos, Minhotães, Monte de Fralães",0003,ADN,24
000302,Vila Cova e Feitos,0003,ADN,21
030301,Adaúfe,0303,ADN,25
030312,Espinho,0303,ADN,12
030313,Esporões,0303,ADN,11
030315,Figueiredo,0303,ADN,13
030319,Gualtar,0303,ADN,23
030322,Lamas,0303,ADN,7
030325,Mire de Tibães,0303,ADN,24
030330,Padim da Graça,0303,ADN,16
030331,Palmeira,0303,ADN,30
030334,Pedralva,0303,ADN,11
030336,Priscos,0303,ADN,12
030338,Ruilhe,0303,ADN,7
030349,Braga (São Vicente),0303,ADN,38
030351,Braga (São Vítor),0303,ADN,115
030354,Sequeira,0303,ADN,14
030355,Sobreposta,0303,ADN,11
030356,Tadim,0303,ADN,4
030357,Tebosa,0303,ADN,12
030363,Arentim e Cunha,0303,ADN,10
030364,"Braga (Maximinos, Sé e Cividade)",0303,ADN,55
030365,Braga (São José de São Lázaro e São João do Souto),0303,ADN,62
030366,Cabreiros e Passos (São Julião),0303,ADN,18
030367,"Celeirós, Aveleda e Vimieiro",0303,ADN,54
030368,Crespos e Pousada,0303,ADN,7
030369,Escudeiros e Penso (Santo Estêvão e São Vicente),0303,ADN,19
030370,Este (São Pedro e São Mamede),0303,ADN,32
030371,Ferreiros e Gondizalves,0303,ADN,64
030372,Guisande e Oliveira (São Pedro),0303,ADN,10
030373,Lomar e Arcos,0303,ADN,54
030374,"Merelim (São Paio), Panoias e Parada de Tibães",0303,ADN,28
030375,Merelim (São Pedro) e Frossos,0303,ADN,15
030376,Morreira e Trandeiras,0303,ADN,8
030377,"Nogueira, Fraião e Lamaçães",0303,ADN,59
030378,Nogueiró e Tenões,0303,ADN,30
030379,"Real, Dume e Semelhe",0303,ADN,55
030380,Santa Lucrécia de Algeriz e Navarra,0303,ADN,7
030381,Vilaça e Fradelos,0303,ADN,6
030401,Abadim,0304,ADN,2
030404,Basto,0304,ADN,9
030405,Bucos,0304,ADN,3
030406,Cabeceiras de Basto,0304,ADN,2
030407,Cavez,0304,ADN,5
030408,Faia,0304,ADN,8
030413,Pedraça,0304,ADN,8
030415,Rio Douro,0304,ADN,6
030418,Alvite e Passos,0304,ADN,10
030419,Arco de Baúlhe e Vila Nune,0304,ADN,9
030420,Gondiães e Vilar de Cunhas,0304,ADN,2
030421,"Refojos de Basto, Outeiro e Painzela",0304,ADN,38
030501,Agilde,0305,ADN,8
030502,Arnóia,0305,ADN,13
030503,Borba de Montanha,0305,ADN,5
030508,Codeçoso,0305,ADN,1
030510,Fervença,0305,ADN,12
