parish_id,parish_name,registered_voters,municipality_id
040248,Sortes,288,0402
040249,Zoio,139,0402
040250,Aveleda e Rio de Onor,348,0402
040251,Castrelos e Carrazedo,253,0402
040252,"Izeda, Calvelhe e Paradinha Nova",1132,0402
040253,Parada e Faílde,788,0402
040254,Rebordainhos e Pombares,205,0402
040255,Rio Frio e Milhão,380,0402
040256,São Julião de Palácios e Deilão,460,0402
040257,"Sé, Santa Maria e Meixedo",21204,0402
040304,Carrazeda de Ansiães,1553,0403
040306,Fonte Longa,257,0403
040308,Linhares,403,0403
040309,Marzagão,313,0403
040311,Parambos,185,0403
040312,Pereiros,187,0403
040313,Pinhal do Norte,234,0403
040314,Pombal,236,0403
040316,Seixo de Ansiães,269,0403
040318,Vilarinho da Castanheira,481,0403
040320,Amedo e Zedes,470,0403
040321,Belver e Mogo de Malta,389,0403
040322,Castanheiro do Norte e Ribalonga,434,0403
040323,"Lavandeira, Beira Grande e Selores",370,0403
040404,Ligares,295,0404
040406,Poiares,304,0404
040407,Freixo de Espada à Cinta e Mazouco,1866,0404
040408,Lagoaça e Fornos,422,0404
040502,Amendoeira,449,0405
040503,Arcas,331,0405
040507,Carrapatas,206,0405
040509,Chacim,322,0405
040510,Cortiços,336,0405
040511,Corujas,190,0405
040514,Ferreira,365,0405
040515,Grijó,476,0405
040516,Lagoa,349,0405
040517,Lamalonga,408,0405
040518,Lamas,287,0405
040519,Lombo,288,0405
040520,Macedo de Cavaleiros,6287,0405
040521,Morais,669,0405
040523,Olmos,228,0405
040524,Peredo,216,0405
040526,Salselas,406,0405
040528,Sezulfe,323,0405
040530,Talhas,422,0405
040532,Vale Benfeito,220,0405
040533,Vale da Porca,317,0405
040534,Vale de Prados,510,0405
040536,Vilarinho de Agrochão,226,0405
040538,Vinhas,285,0405
040539,Ala e Vilarinho do Monte,531,0405
040540,Bornes e Burga,511,0405
040541,Castelãos e Vilar do Monte,405,0405
040542,"Espadanedo, Edroso, Murçós e Soutelo Mourisco",651,0405
040543,Podence e Santa Combinha,402,0405
040544,Talhinhas e Bagueixe,402,0405
040604,Duas Igrejas,603,0406
040605,Genísio,199,0406
040607,Malhadas,390,0406
040608,Miranda do Douro,1839,0406
040609,Palaçoulo,457,0406
040611,Picote,265,0406
040612,Póvoa,184,0406
040613,São Martinho de Angueira,315,0406
040616,Vila Chã de Braciosa,322,0406
040618,Constantim e Cicouro,196,0406
040619,Ifanes e Paradela,279,0406
040620,Sendim e Atenor,1371,0406
040621,Silva e Águas Vivas,505,0406
040701,Abambres,387,0407
040702,Abreiro,242,0407
040703,Aguieiras,332,0407
040704,Alvites,255,0407
040708,Bouça,294,0407
040709,Cabanelas,378,0407
040710,Caravelas,199,0407
040711,Carvalhais,1187,0407
040712,Cedães,340,0407
040713,Cobro,155,0407
040714,Fradizela,253,0407
040716,Frechas,791,0407
040718,Lamas de Orelhão,437,0407
040720,Mascarenhas,560,0407
040721,Mirandela,10882,0407
040722,Múrias,302,0407
040724,Passos,379,0407
040727,São Pedro Velho,304,0407
040728,São Salvador,222,0407
040729,Suçães,593,0407
040730,Torre de Dona Chama,958,0407
040731,Vale de Asnes,275,0407
040732,Vale de Gouvinhas,326,0407
040733,Vale de Salgueiro,358,0407
040734,Vale de Telhas,274,0407
040738,Avantos e Romeu,403,0407
040739,"Avidagos, Navalho e Pereira",443,0407
040740,"Barcel, Marmelos e Valverde da Gestosa",382,0407
040741,Franco e Vila Boa,304,0407
040742,Freixeda e Vila Verde,161,0407
040801,Azinhoso,319,0408
040802,Bemposta,632,0408
040803,Bruçó,148,0408
040804,Brunhoso,295,0408
040807,Castelo Branco,433,0408
040808,Castro Vicente,319,0408
040809,Meirinhos,279,0408
040811,Paradela,148,0408
040812,Penas Roias,368,0408
040813,Peredo da Bemposta,208,0408
040815,Saldanha,138,0408
040817,São Martinho do Peso,410,0408
040819,Tó,173,0408
040820,Travanca,151,0408
040821,Urrós,324,0408
040822,Vale da Madre,135,0408
040826,Vila de Ala,242,0408
040829,"Brunhozinho, Castanheira e Sanhoane",249,0408
040830,"Mogadouro, Valverde, Vale de Porco e Vilar de Rei",3638,0408
040831,Remondes e Soutelo,461,0408
040832,Vilarinho dos Galegos e Ventozelo,398,0408
040901,Açoreira,374,0409
040903,Cabeça Boa,372,0409
040905,Carviçais,574,0409
040906,Castedo,154,0409
040909,Horta da Vilariça,276,0409
040910,Larinho,395,0409
040911,Lousa,382,0409
040913,Mós,147,0409
040916,Torre de Moncorvo,2443,0409
040918,Adeganha e Cardanha,547,0409
040919,Felgar e Souto da Velha,1000,0409
040920,Felgueiras e Maçores,355,0409
040921,Urros e Peredo dos Castelhanos,353,0409
041002,Benlhevai,197,0410
041005,Freixiel,644,0410
041009,Roios,150,0410
041010,Samões,365,0410
041011,Sampaio,148,0410
041012,Santa Comba de Vilariça,422,0410
041013,Seixo de Manhoses,433,0410
041014,Trindade,146,0410
041015,Vale Frechoso,164,0410
041020,Assares e Lodões,273,0410
041021,Candoso e Carvalho de Egas,303,0410
041022,Valtorno e Mourão,408,0410
041023,Vila Flor e Nabo,2262,0410
041024,Vilas Boas e Vilarinho das Azenhas,646,0410
041103,Argozelo,833,0411
041107,Carção,480,0411
041108,Matela,274,0411
041109,Pinelo,203,0411
041110,Santulhão,531,0411
041113,Vilar Seco,182,0411
041114,Vimioso,1283,0411
041115,"Algoso, Campo de Víboras e Uva",678,0411
041116,Caçarelhos e Angueira,293,0411
041117,Vale de Frades e Avelanoso,347,0411
041201,Agrochão,229,0412
041203,Candedo,319,0412
041204,Celas,251,0412
041206,Edral,209,0412
041207,Edrosa,187,0412
041208,Ervedosa,395,0412
