parish_id,municipality_id,municipio,distrito_ilha,upper_district
031221,0312,Vila Nova de Famalicão,Braga,Braga
031223,0312,Vila Nova de Famalicão,Braga,Braga
031224,0312,Vila Nova de Famalicão,Braga,Braga
031225,0312,Vila Nova de Famalicão,Braga,Braga
031227,0312,Vila Nova de Famalicão,Braga,Braga
031230,0312,Vila Nova de Famalicão,Braga,Braga
031232,0312,Vila Nova de Famalicão,Braga,Braga
031233,0312,Vila Nova de Famalicão,Braga,Braga
031234,0312,Vila Nova de Famalicão,Braga,Braga
031235,0312,Vila Nova de Famalicão,Braga,Braga
031239,0312,Vila Nova de Famalicão,Braga,Braga
031241,0312,Vila Nova de Famalicão,Braga,Braga
031242,0312,Vila Nova de Famalicão,Braga,Braga
031247,0312,Vila Nova de Famalicão,Braga,Braga
031249,0312,Vila Nova de Famalicão,Braga,Braga
031250,0312,Vila Nova de Famalicão,Braga,Braga
031251,0312,Vila Nova de Famalicão,Braga,Braga
031253,0312,Vila Nova de Famalicão,Braga,Braga
031256,0312,Vila Nova de Famalicão,Braga,Braga
031258,0312,Vila Nova de Famalicão,Braga,Braga
031259,0312,Vila Nova de Famalicão,Braga,Braga
031260,0312,Vila Nova de Famalicão,Braga,Braga
031261,0312,Vila Nova de Famalicão,Braga,Braga
031262,0312,Vila Nova de Famalicão,Braga,Braga
031263,0312,Vila Nova de Famalicão,Braga,Braga
031264,0312,Vila Nova de Famalicão,Braga,Braga
031265,0312,Vila Nova de Famalicão,Braga,Braga
031266,0312,Vila Nova de Famalicão,Braga,Braga
031267,0312,Vila Nova de Famalicão,Braga,Braga
031268,0312,Vila Nova de Famalicão,Braga,Braga
031269,0312,Vila Nova de Famalicão,Braga,Braga
031304,0313,Vila Verde,Braga,Braga
031308,0313,Vila Verde,Braga,Braga
031309,0313,Vila Verde,Braga,Braga
031311,0313,Vila Verde,Braga,Braga
031313,0313,Vila Verde,Braga,Braga
031316,0313,Vila Verde,Braga,Braga
031317,0313,Vila Verde,Braga,Braga
031323,0313,Vila Verde,Braga,Braga
031324,0313,Vila Verde,Braga,Braga
031325,0313,Vila Verde,Braga,Braga
031328,0313,Vila Verde,Braga,Braga
031330,0313,Vila Verde,Braga,Braga
031331,0313,Vila Verde,Braga,Braga
031335,0313,Vila Verde,Braga,Braga
031337,0313,Vila Verde,Braga,Braga
031340,0313,Vila Verde,Braga,Braga
031342,0313,Vila Verde,Braga,Braga
031350,0313,Vila Verde,Braga,Braga
031352,0313,Vila Verde,Braga,Braga
